#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-08T20:27:18', checksum=2945867503, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
25,4.25063E-04,contents,Precast,6.99705E-11,4.00000E-02
50,5.84981E+00,contents,Precast,9.62948E-07,2.00000E-02
100,1.11433E+02,contents,Precast,1.83433E-05,1.00000E-02
250,2.10090E+03,contents,Precast,3.45834E-04,4.00000E-03
500,1.16461E+04,contents,Precast,1.91709E-03,2.00000E-03
1000,4.55195E+04,contents,Precast,7.49305E-03,1.00000E-03
2500,1.87075E+05,contents,Precast,3.07947E-02,4.00000E-04
25,7.60498E-01,nonstructural,Precast,6.90548E-08,4.00000E-02
50,1.23824E+02,nonstructural,Precast,1.12435E-05,2.00000E-02
100,1.13670E+03,nonstructural,Precast,1.03215E-04,1.00000E-02
250,8.91280E+03,nonstructural,Precast,8.09301E-04,4.00000E-03
500,3.12080E+04,nonstructural,Precast,2.83375E-03,2.00000E-03
1000,9.29136E+04,nonstructural,Precast,8.43674E-03,1.00000E-03
2500,3.19592E+05,nonstructural,Precast,2.90196E-02,4.00000E-04
100,1.81838E-06,occupants,Precast,8.58212E-09,1.00000E-02
250,2.38640E-04,occupants,Precast,1.12630E-06,4.00000E-03
500,2.73418E-03,occupants,Precast,1.29044E-05,2.00000E-03
1000,1.59821E-02,occupants,Precast,7.54301E-05,1.00000E-03
2500,8.89041E-02,occupants,Precast,4.19597E-04,4.00000E-04
25,2.71426E-02,structural,Precast,4.02120E-09,4.00000E-02
50,2.81101E+01,structural,Precast,4.16453E-06,2.00000E-02
100,4.79845E+02,structural,Precast,7.10894E-05,1.00000E-02
250,6.18280E+03,structural,Precast,9.15986E-04,4.00000E-03
500,2.64017E+04,structural,Precast,3.91143E-03,2.00000E-03
1000,8.67814E+04,structural,Precast,1.28567E-02,1.00000E-03
2500,3.05296E+05,structural,Precast,4.52299E-02,4.00000E-04
25,2.44706E+03,contents,*total*,7.45344E-06,4.00000E-02
50,3.56937E+04,contents,*total*,1.08719E-04,2.00000E-02
100,1.75955E+05,contents,*total*,5.35938E-04,1.00000E-02
250,7.86036E+05,contents,*total*,2.39417E-03,4.00000E-03
500,1.86255E+06,contents,*total*,5.67310E-03,2.00000E-03
1000,4.06478E+06,contents,*total*,1.23808E-02,1.00000E-03
