rlz_id,branch_path,weight
349,0~1BNST,4.1666668e-04
350,0~3FNTU,4.1666668e-04
351,0~3BMSU,4.1666668e-04
352,0~17MTU,4.1666668e-04
353,0~27KVU,4.1666668e-04
354,0~3JNTV,4.1666668e-04
355,0~0BKUV,4.1666668e-04
356,0~3DMSS,4.1666668e-04
357,0~0GNTT,4.1666668e-04
358,0~1BKTU,4.1666668e-04
359,0~2AKST,4.1666668e-04
360,0~0ALTU,4.1666668e-04
361,0~29MUT,4.1666668e-04
362,0~2AMST,4.1666668e-04
363,0~2EMTV,4.1666668e-04
364,0~14LUU,4.1666668e-04
365,0~0FKUU,4.1666668e-04
366,0~04NSS,4.1666668e-04
367,0~2BKUT,4.1666668e-04
368,0~1ALST,4.1666668e-04
369,0~2AKVT,4.1666668e-04
370,0~2JMUU,4.1666668e-04
