#,,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,nation,SS_Region,prname,loss_ratio,annual_frequency_of_exceedence
2500,9.40525E+00,occupants,Canada,West,Saskatchewan,8.32127E-06,4.00000E-04
25,6.54557E+04,structural,Canada,West,Saskatchewan,7.76790E-07,4.00000E-02
50,2.59987E+06,structural,Canada,West,Saskatchewan,3.08538E-05,2.00000E-02
100,1.68479E+07,structural,Canada,West,Saskatchewan,1.99941E-04,1.00000E-02
250,6.59607E+07,structural,Canada,West,Saskatchewan,7.82783E-04,4.00000E-03
500,1.35143E+08,structural,Canada,West,Saskatchewan,1.60380E-03,2.00000E-03
1000,2.32896E+08,structural,Canada,West,Saskatchewan,2.76387E-03,1.00000E-03
2500,4.15182E+08,structural,Canada,West,Saskatchewan,4.92714E-03,4.00000E-04
5,1.74978E+04,contents,Canada,West,Yukon,9.73895E-06,2.00000E-01
10,6.00449E+04,contents,Canada,West,Yukon,3.34198E-05,1.00000E-01
25,2.27067E+05,contents,Canada,West,Yukon,1.26381E-04,4.00000E-02
50,5.68960E+05,contents,Canada,West,Yukon,3.16672E-04,2.00000E-02
100,1.36408E+06,contents,Canada,West,Yukon,7.59223E-04,1.00000E-02
250,3.54797E+06,contents,Canada,West,Yukon,1.97473E-03,4.00000E-03
500,6.55778E+06,contents,Canada,West,Yukon,3.64993E-03,2.00000E-03
1000,1.19712E+07,contents,Canada,West,Yukon,6.66292E-03,1.00000E-03
2500,2.59093E+07,contents,Canada,West,Yukon,1.44206E-02,4.00000E-04
5,5.01143E+04,nonstructural,Canada,West,Yukon,6.26688E-06,2.00000E-01
10,2.18321E+05,nonstructural,Canada,West,Yukon,2.73014E-05,1.00000E-01
25,1.04355E+06,nonstructural,Canada,West,Yukon,1.30498E-04,4.00000E-02
50,2.77244E+06,nonstructural,Canada,West,Yukon,3.46698E-04,2.00000E-02
100,6.34900E+06,nonstructural,Canada,West,Yukon,7.93953E-04,1.00000E-02
250,1.61980E+07,nonstructural,Canada,West,Yukon,2.02559E-03,4.00000E-03
500,3.03464E+07,nonstructural,Canada,West,Yukon,3.79487E-03,2.00000E-03
1000,5.41938E+07,nonstructural,Canada,West,Yukon,6.77703E-03,1.00000E-03
2500,1.17394E+08,nonstructural,Canada,West,Yukon,1.46803E-02,4.00000E-04
5,4.17412E-07,occupants,Canada,West,Yukon,1.08495E-11,2.00000E-01
10,9.98231E-05,occupants,Canada,West,Yukon,2.59464E-09,1.00000E-01
25,3.20733E-03,occupants,Canada,West,Yukon,8.33659E-08,4.00000E-02
50,2.03204E-02,occupants,Canada,West,Yukon,5.28174E-07,2.00000E-02
100,9.28069E-02,occupants,Canada,West,Yukon,2.41227E-06,1.00000E-02
250,4.66787E-01,occupants,Canada,West,Yukon,1.21329E-05,4.00000E-03
500,1.07064E+00,occupants,Canada,West,Yukon,2.78284E-05,2.00000E-03
1000,1.84414E+00,occupants,Canada,West,Yukon,4.79336E-05,1.00000E-03
2500,5.53695E+00,occupants,Canada,West,Yukon,1.43918E-04,4.00000E-04
5,3.67606E+05,structural,Canada,West,Yukon,1.33278E-04,2.00000E-01
10,1.05460E+06,structural,Canada,West,Yukon,3.82351E-04,1.00000E-01
25,2.93450E+06,structural,Canada,West,Yukon,1.06392E-03,4.00000E-02
50,5.34364E+06,structural,Canada,West,Yukon,1.93737E-03,2.00000E-02
100,8.93746E+06,structural,Canada,West,Yukon,3.24034E-03,1.00000E-02
250,1.66341E+07,structural,Canada,West,Yukon,6.03081E-03,4.00000E-03
500,2.63235E+07,structural,Canada,West,Yukon,9.54377E-03,2.00000E-03
1000,4.13142E+07,structural,Canada,West,Yukon,1.49787E-02,1.00000E-03
2500,7.98218E+07,structural,Canada,West,Yukon,2.89399E-02,4.00000E-04
