#,,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,nation,SS_Region,prname,loss_ratio,annual_frequency_of_exceedence
250,1.71366E+07,structural,Canada,West,Saskatchewan,2.03367E-04,4.00000E-03
500,4.52724E+07,structural,Canada,West,Saskatchewan,5.37267E-04,2.00000E-03
1000,8.17775E+07,structural,Canada,West,Saskatchewan,9.70487E-04,1.00000E-03
2500,1.56183E+08,structural,Canada,West,Saskatchewan,1.85349E-03,4.00000E-04
5,4.22477E+03,contents,Canada,West,Yukon,2.35142E-06,2.00000E-01
10,2.11532E+04,contents,Canada,West,Yukon,1.17735E-05,1.00000E-01
25,9.35693E+04,contents,Canada,West,Yukon,5.20788E-05,4.00000E-02
50,2.29072E+05,contents,Canada,West,Yukon,1.27497E-04,2.00000E-02
100,5.23280E+05,contents,Canada,West,Yukon,2.91247E-04,1.00000E-02
250,1.57773E+06,contents,Canada,West,Yukon,8.78131E-04,4.00000E-03
500,3.18762E+06,contents,Canada,West,Yukon,1.77417E-03,2.00000E-03
1000,5.60241E+06,contents,Canada,West,Yukon,3.11819E-03,1.00000E-03
2500,1.27384E+07,contents,Canada,West,Yukon,7.08993E-03,4.00000E-04
5,9.48751E+03,nonstructural,Canada,West,Yukon,1.18643E-06,2.00000E-01
10,5.98761E+04,nonstructural,Canada,West,Yukon,7.48760E-06,1.00000E-01
25,3.50097E+05,nonstructural,Canada,West,Yukon,4.37803E-05,4.00000E-02
50,1.01446E+06,nonstructural,Canada,West,Yukon,1.26860E-04,2.00000E-02
100,2.55940E+06,nonstructural,Canada,West,Yukon,3.20058E-04,1.00000E-02
250,7.00760E+06,nonstructural,Canada,West,Yukon,8.76312E-04,4.00000E-03
500,1.40304E+07,nonstructural,Canada,West,Yukon,1.75452E-03,2.00000E-03
1000,2.69559E+07,nonstructural,Canada,West,Yukon,3.37088E-03,1.00000E-03
2500,6.01969E+07,nonstructural,Canada,West,Yukon,7.52773E-03,4.00000E-04
25,2.03004E-04,occupants,Canada,West,Yukon,5.27655E-09,4.00000E-02
50,2.43815E-03,occupants,Canada,West,Yukon,6.33734E-08,2.00000E-02
100,1.42879E-02,occupants,Canada,West,Yukon,3.71376E-07,1.00000E-02
250,1.15267E-01,occupants,Canada,West,Yukon,2.99606E-06,4.00000E-03
500,3.43712E-01,occupants,Canada,West,Yukon,8.93389E-06,2.00000E-03
1000,9.65668E-01,occupants,Canada,West,Yukon,2.51000E-05,1.00000E-03
2500,1.72311E+00,occupants,Canada,West,Yukon,4.47877E-05,4.00000E-04
5,1.12972E+05,structural,Canada,West,Yukon,4.09588E-05,2.00000E-01
