#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-23T19:26:42', checksum=2938527266, investigation_time=1.0, risk_investigation_time=1.0"
event_id,contents,nonstructural,occupants,structural,rlz_id,rup_id,year
902,2.26427E+05,2.93224E+05,0.00000E+00,4.64235E+04,0,370,1
903,3.87945E+05,4.35041E+05,3.37287E-06,7.04606E+04,0,371,1
904,2.26964E+05,2.41730E+05,1.51941E-03,4.24281E+04,0,372,1
905,6.44713E+05,1.24595E+06,7.27615E-04,2.91154E+05,0,373,1
906,1.13833E+06,2.20234E+06,7.25756E-03,5.22589E+05,0,374,1
913,4.67121E+03,4.63066E+03,0.00000E+00,2.55673E+00,0,381,1
914,4.56956E+04,3.48664E+04,0.00000E+00,1.65859E+04,0,382,1
915,8.50298E+03,7.81347E+03,0.00000E+00,1.04899E+03,0,383,1
916,1.03231E+05,1.79770E+05,3.29694E-05,3.02964E+04,0,384,1
917,7.79923E+03,6.37584E+03,0.00000E+00,3.07515E+03,0,385,1
918,8.11886E+05,1.39060E+06,4.06336E-02,2.82905E+05,0,386,1
919,4.72165E+06,1.67554E+07,3.04045E-01,8.98191E+06,0,387,1
920,5.74173E+06,2.29493E+07,1.55805E+00,1.22413E+07,0,388,1
926,6.32370E+04,8.80330E+04,0.00000E+00,8.09491E+03,0,394,1
927,6.59956E+05,1.05992E+06,5.32000E-06,2.20321E+05,0,395,1
928,1.96614E+05,1.88299E+05,0.00000E+00,4.30508E+04,0,396,1
929,2.25226E+05,3.34987E+05,2.05049E-04,9.57123E+04,0,397,1
930,3.36352E+05,6.05419E+05,1.06960E-04,1.29657E+05,0,398,1
935,1.28077E+06,2.76421E+06,2.21096E-03,9.64626E+05,0,403,1
936,4.70881E+05,7.28824E+05,3.61649E-04,1.66331E+05,0,404,1
937,1.05806E+06,2.23094E+06,2.44373E-03,6.18214E+05,0,405,1
938,3.60875E+06,1.49458E+07,3.65752E-01,6.98459E+06,0,406,1
956,1.20378E+04,8.79492E+03,0.00000E+00,2.91308E+01,0,423,1
960,7.57255E+04,9.52500E+04,4.22300E-05,6.68115E+03,0,426,1
961,6.89636E+04,1.16260E+05,0.00000E+00,1.12677E+04,0,427,1
965,6.25850E+02,4.50370E+02,0.00000E+00,8.20090E+02,0,430,1
970,6.62877E+02,4.76789E+02,0.00000E+00,8.39965E+02,0,435,1
972,9.47669E+04,1.52391E+05,0.00000E+00,1.71428E+04,0,437,1
973,5.38068E+05,1.15727E+06,1.76920E-03,3.29416E+05,0,438,1
974,4.76210E+05,8.45355E+05,8.29131E-04,2.56584E+05,0,439,1
983,4.89237E+03,1.37889E+04,0.00000E+00,5.46958E+03,0,448,1
984,2.07645E+05,4.46537E+05,6.06076E-04,1.22341E+05,0,449,1
985,1.10897E+06,2.05937E+06,1.73545E-03,5.66501E+05,0,450,1
986,2.03384E+06,5.40395E+06,1.10816E-01,2.52536E+06,0,451,1
1004,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,467,1
1005,1.12095E+04,9.60973E+03,0.00000E+00,4.10001E+03,0,468,1
1007,1.34716E+05,2.20413E+05,0.00000E+00,2.67258E+04,0,470,1
1008,2.74410E+04,3.71333E+04,0.00000E+00,9.68353E+02,0,471,1
1009,9.90797E+04,1.97184E+05,0.00000E+00,1.56580E+04,0,472,1
1010,3.41735E+04,3.76184E+04,0.00000E+00,3.53234E+03,0,473,1
1011,2.64705E+05,2.81942E+05,0.00000E+00,5.09525E+04,0,474,1
1012,4.05416E+05,5.05470E+05,9.52000E-06,8.85472E+04,0,475,1
1013,1.69496E+06,3.80424E+06,1.13793E-02,1.49570E+06,0,476,1
1014,2.58662E+06,9.72133E+06,1.75195E-01,4.36913E+06,0,477,1
1021,7.83192E+03,7.75748E+03,0.00000E+00,2.61456E+01,0,484,1
1022,1.24824E+04,1.48023E+04,0.00000E+00,1.13397E+02,0,485,1
1023,2.82186E+05,3.03653E+05,0.00000E+00,5.27208E+04,0,486,1
1025,1.59270E+06,3.74707E+06,7.71087E-03,1.58697E+06,0,488,1
1026,4.34488E+05,5.29510E+05,0.00000E+00,1.14625E+05,0,489,1
1027,3.58089E+05,4.46919E+05,9.52000E-06,8.80338E+04,0,490,1
1028,7.23534E+05,1.54246E+06,4.95749E-03,5.46364E+05,0,491,1
